,Defender,value_added_total,shot_worth_total,PTS_total,Shot_defenses,value_added_per_shot,shot_worth_per_shot,PTS_per_shot_allowed,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
225,"Ibaka, Serge",-199.300174,1009.301798,868,981,-0.203160218,1.028849947,0.884811417,0.408766565,0.473501763,0.994268579,11.73231397,12.4703655,4.095005097,2.594291539,1.754332314
115,"Davis, Anthony",-185.9809142,959.7324293,834,973,-0.191141741,0.986364264,0.857142857,0.401849949,0.457296075,0.994268579,11.91706064,11.88757543,4.162076053,2.743987667,1.889003083
183,"Green, Draymond",-164.4044566,1019.395107,918,1087,-0.15124605,0.937805986,0.844526219,0.391904324,0.432980296,0.994268579,12.68224471,11.84505499,3.827046918,2.997792088,2.111315547
415,"Smith, Josh",-157.8512608,1036.462075,945,1030,-0.153253651,1.006273859,0.917475728,0.419417476,0.462305208,0.994268579,12.0223301,12.58834785,4.03038835,2.583009709,1.67961165
165,"Gasol, Marc",-152.2286245,971.3709928,879,953,-0.159736227,1.019277012,0.922350472,0.445960126,0.493791448,0.994268579,9.265897167,12.32652741,3.677019937,2.572822665,1.778593914
179,"Gortat, Marcin",-145.0045328,1069.893814,993,1084,-0.133768019,0.986986913,0.916051661,0.438191882,0.474490239,0.994268579,9.877859779,12.24521533,3.778505535,2.898708487,2.085793358
136,"Duncan, Tim",-141.9195964,987.7950152,901,993,-0.142920037,0.994758323,0.90735146,0.443101712,0.485507285,0.994268579,9.035146022,12.53069549,3.66143001,2.859315206,2.131923464
210,"Hibbert, Roy",-133.9623406,762.0668947,681,790,-0.169572583,0.964641639,0.862025316,0.417721519,0.469829098,0.994268579,9.092025316,12.05988721,3.562405063,2.855822785,1.934177215
172,"Gobert, Rudy",-133.1225643,889.1048014,809,908,-0.146610754,0.97919031,0.890969163,0.433920705,0.476991141,0.994268579,8.464207048,12.01961275,3.544713656,2.864757709,2.022026432
341,"Noah, Joakim",-132.4240289,878.8942197,800,913,-0.145042748,0.962644271,0.876232202,0.411829135,0.446945845,0.994268579,13.0007667,12.2484882,4.379408543,2.652135816,1.69441402
196,"Harden, James",-124.8065136,1004.977964,937,971,-0.128534,1.034992753,0.964984552,0.423274974,0.444665678,0.994268579,15.37054583,12.51448474,4.501441813,2.317713697,1.501544799
53,"Bogut, Andrew",-122.8826024,679.3837204,602,698,-0.176049574,0.973329112,0.862464183,0.421203438,0.474851083,0.994268579,9.215759312,12.35829861,3.662750716,2.620773639,1.628939828
220,"Horford, Al",-121.3746955,891.522457,825,886,-0.136991756,1.006233021,0.931151242,0.443566591,0.478253306,0.994268579,10.62742664,12.55455636,3.980925508,2.683295711,1.804740406
264,"Korver, Kyle",-120.4277566,887.5157913,827,866,-0.139062075,1.024845025,0.954965358,0.420323326,0.446980739,0.994268579,14.6295612,13.00603853,4.091224018,1.963510393,1.250577367
87,"Chandler, Tyson",-119.4868926,1101.074179,1046,1077,-0.11094419,1.022352998,0.971216342,0.467038069,0.491921958,0.994268579,9.15821727,12.48846855,3.872516249,2.630454968,1.744661096
313,"Middleton, Khris",-116.0636118,746.601589,668,712,-0.163010691,1.048597737,0.938202247,0.400280899,0.444608643,0.994268579,16.39803371,11.95184469,4.448735955,2.248033708,1.584269663
