,Shooter,value_added_total,shot_worth_total,PTS_total,Shot_taken,value_added_per_shot,shot_worth_per_shot,PTS_per_shot,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
0,"Acy, Quincy",-36.18034308,331.3191733,320,327,-0.110643251,1.013208481,0.978593272,0.4617737,0.472941823,0.994268579,14.16207951,11.32243463,4.924159021,1.544342508,0.318042813
1,"Adams, Jordan",-13.51581885,88.02156742,80,86,-0.157160684,1.023506598,0.930232558,0.406976744,0.457349571,0.994268579,13.5244186,13.46967944,4.545348837,1.784883721,1.174418605
2,"Adams, Steven",-43.26490686,442.6339092,428,392,-0.11036966,1.129168136,1.091836735,0.545918367,0.564178336,0.994268579,4.996683673,13.27154003,2.731122449,1.508163265,0.375
3,"Adrien, Jeff",-12.08464158,44.73856292,36,43,-0.281038176,1.040431696,0.837209302,0.418604651,0.520215848,0.994268579,6.527906977,12.09534884,2.704651163,1.793023256,0.511627907
4,"Afflalo, Arron",-18.51253877,838.7565397,866,880,-0.021036976,0.953132431,0.984090909,0.425,0.407510139,0.994268579,16.49954545,12.09211609,3.975795455,2.368068182,1.661363636
5,"Ajinca, Alexis",20.67761392,315.8045146,362,326,0.063428264,0.968725505,1.110429448,0.555214724,0.484362753,0.994268579,8.033435583,12.66146051,3.470552147,1.685276074,0.5
6,"Aldemir, Furkan",-10.65217234,84.94947424,80,77,-0.1383399,1.103239925,1.038961039,0.519480519,0.53909093,0.994268579,6.898701299,14.21095705,3.966233766,1.046753247,0.207792208
7,"Aldrich, Cole",-20.74544676,281.2165808,284,295,-0.070323548,0.953276545,0.962711864,0.481355932,0.476638273,0.994268579,6.174237288,11.25303802,2.709830508,1.714576271,0.525423729
8,"Aldridge, LaMarcus",-16.01813686,1250.202392,1341,1405,-0.011400809,0.889823767,0.954448399,0.46405694,0.43095529,0.994268579,13.69302491,11.3635868,4.133594306,2.466476868,1.256939502
9,"Allen, Lavoy",-23.8169521,268.1407815,264,279,-0.08536542,0.96107807,0.946236559,0.47311828,0.480539035,0.994268579,11.35698925,12.83362846,4.8390681,1.064516129,0.222222222
10,"Allen, Tony",-99.1981014,520.0366421,448,446,-0.222417268,1.16600144,1.004484305,0.49103139,0.570007584,0.994268579,5.973766816,13.78895689,3.429372197,1.682511211,0.937219731
11,"Aminu, Al-Farouq",-104.1849986,406.5662087,326,355,-0.293478869,1.145256926,0.918309859,0.411267606,0.504096075,0.994268579,12.48197183,13.56684811,4.770985915,1.501690141,0.633802817
12,"Amundson, Lou",-56.73470069,242.4059701,204,247,-0.229695144,0.981400689,0.825910931,0.412955466,0.490491132,0.994268579,6.837651822,12.25625488,3.125910931,1.622267206,0.631578947
13,"Andersen, Chris",-14.43117938,232.0682305,231,194,-0.074387523,1.196227992,1.190721649,0.587628866,0.58801276,0.994268579,6.23556701,13.59015417,3.42371134,1.088659794,0.154639175
14,"Anderson, Alan",-1.668440574,435.089092,459,431,-0.003871092,1.009487452,1.064965197,0.447795824,0.419360398,0.994268579,16.03944316,11.3443818,4.017865429,2.370765661,1.410672854
15,"Anderson, Kyle",-22.17977127,82.94933358,65,89,-0.249210913,0.932014984,0.730337079,0.348314607,0.441486199,0.994268579,12.01235955,10.77571514,4.203370787,3.243820225,2.404494382
16,"Anderson, Ryan",-80.49816754,729.6790486,704,727,-0.110726503,1.003685074,0.968363136,0.400275103,0.411500924,0.994268579,17.6431912,11.49107414,4.76519945,1.791884457,0.762035763
17,"Antetokounmpo, Giannis",-97.97872846,798.1147612,757,764,-0.128244409,1.044652829,0.990837696,0.490837696,0.513301627,0.994268579,9.503664921,12.49702466,3.637827225,2.764790576,1.798429319
18,"Anthony, Carmelo",-8.932278443,715.3811612,758,787,-0.011349782,0.908997664,0.963151207,0.443456163,0.416016978,0.994268579,15.06721728,11.6507522,3.640660737,3.224777637,1.814485388
19,"Anthony, Joel",1.171037686,64.51286769,70,61,0.019197339,1.057587995,1.147540984,0.573770492,0.528793997,0.994268579,6.040983607,12.41883178,3.050819672,1.383606557,0.278688525
20,"Antic, Pero",-75.41054396,320.7593752,268,295,-0.255628963,1.087319916,0.908474576,0.366101695,0.437181988,0.994268579,18.01559322,11.61331714,5.140338983,1.222033898,0.169491525
21,"Ariza, Trevor",-145.9939252,997.8202653,906,896,-0.162939649,1.113638689,1.011160714,0.399553571,0.440658058,0.994268579,17.80301339,13.76497597,5.334709821,1.701339286,0.814732143
22,"Arthur, Darrell",-70.92916178,376.9916621,334,381,-0.186165779,0.989479428,0.87664042,0.404199475,0.439464281,0.994268579,17.39501312,13.37079331,5.686614173,1.106299213,0.244094488
23,"Asik, Omer",-110.734119,499.2084729,422,410,-0.270083217,1.217581641,1.029268293,0.514634146,0.608790821,0.994268579,2.653658537,12.99946912,2.431219512,1.103414634,0.192682927
24,"Augustin, D.J.",-60.73754212,626.1141454,599,645,-0.094166732,0.970719605,0.928682171,0.4,0.420938195,0.994268579,14.87643411,11.96172232,4.12372093,5.130542636,5.47751938
25,"Ayres, Jeff",-7.244172123,111.3189721,110,94,-0.077065661,1.184244384,1.170212766,0.585106383,0.592122192,0.994268579,5.445744681,12.07815123,3.142553191,1.023404255,0.170212766
26,"Babbitt, Luke",26.6212701,201.6505653,240,191,0.139378377,1.055762122,1.256544503,0.476439791,0.410545182,0.994268579,18.70104712,11.91459365,6.005235602,1.539790576,0.696335079
27,"Bairstow, Cameron",-7.803388566,13.16976609,6,14,-0.557384898,0.940697578,0.428571429,0.214285714,0.470348789,0.994268579,10.77142857,12.63571429,4.578571429,1.6,0.285714286
28,"Barbosa, Leandro",-1.733041719,381.5064363,398,380,-0.004560636,1.003964306,1.047368421,0.468421053,0.449448704,0.994268579,13.13421053,13.46375936,4.033421053,2.295263158,1.744736842
29,"Barea, Jose Juan",-29.63413363,509.984234,504,535,-0.055390904,0.953241559,0.942056075,0.420560748,0.421584,0.994268579,13.52224299,12.02443883,4.14953271,5.31588785,5.745794393
30,"Bargnani, Andrea",2.349914665,317.6464619,343,360,0.006527541,0.882351283,0.952777778,0.455555556,0.420897305,0.994268579,14.70472222,11.08511436,4.392777778,1.703055556,0.45
31,"Barnes, Harrison",-29.09417606,698.4546759,710,646,-0.045037424,1.081199189,1.099071207,0.482972136,0.475616252,0.994268579,13.83095975,13.82566535,5.286996904,1.866099071,1.024767802
