,Defender,value_added_x,value_added_y,Shot_defenses,shot_worth_y,shot_worth_x
0,"Acy, Quincy",-35.03643595523998,-0.08322193813596195,421.0,0.9787088740029449,412.0364359552398
1,"Adams, Jordan",13.67600706333464,0.13277676760519067,103.0,0.9934368246278189,102.32399293666535
2,"Adams, Steven",-69.88196980571404,-0.08659475812356138,807.0,1.0196802599822978,822.8819698057143
3,"Adrien, Jeff",0.7207341836597856,0.008580168853092686,84.0,1.0271341168611932,86.27926581634023
4,"Afflalo, Arron",-6.858519681833762,-0.0094861959638088,723.0,0.9652261683012916,697.8585196818339
5,"Ajinca, Alexis",-14.56109246257775,-0.033550904291653805,434.0,0.9966845448446484,432.5610924625774
6,"Aldemir, Furkan",16.340452959634064,0.08010025960604933,204.0,0.9787232698057151,199.65954704036588
7,"Aldrich, Cole",14.097859987930072,0.03112110372611495,453.0,1.0152365121679237,459.9021400120694
8,"Aldridge, LaMarcus",-47.616257369725666,-0.048787148944391054,976.0,1.0037051817312759,979.6162573697253
9,"Allen, Lavoy",-25.89057860307655,-0.060633673543504796,427.0,0.985692221552872,420.89057860307634
10,"Allen, Tony",-57.836776912806805,-0.1243801654038856,465.0,0.9931973697049608,461.8367769128067
11,"Aminu, Al-Farouq",1.7833762195745708,0.0034229869857477367,521.0,1.0042545562004324,523.2166237804253
12,"Amundson, Lou",4.561439511458959,0.011179998802595487,408.0,1.0010749031581887,408.438560488541
13,"Andersen, Chris",13.047358369218058,0.03055587440097906,427.0,1.051411338713775,448.9526416307819
14,"Anderson, Alan",-18.140868153102552,-0.03448834249639268,526.0,1.0059712322302323,529.1408681531022
15,"Anderson, Kyle",6.555738969258664,0.06070128675239504,108.0,1.0689283428772343,115.4442610307413
16,"Anderson, Ryan",19.595324934399198,0.03310021103783648,592.0,0.9787241132864882,579.404675065601
17,"Antetokounmpo, Giannis",-36.31968303811097,-0.04597428232672275,790.0,1.0598983329596348,837.3196830381115
18,"Anthony, Carmelo",15.081638488713907,0.043338041634235366,348.0,1.054363107791052,366.9183615112861
19,"Anthony, Joel",-15.348913539042083,-0.07274366606181082,211.0,1.0016536186684457,211.34891353904206
20,"Antic, Pero",-24.84275960485957,-0.07200799885466543,345.0,0.9879500278401728,340.8427596048596
21,"Ariza, Trevor",45.99622316181798,0.06344306643009376,725.0,1.044143140466458,757.0037768381821
22,"Arthur, Darrell",-14.551597065512613,-0.03472934860504204,419.0,0.9893832865525369,414.55159706551296
23,"Asik, Omer",25.668183657683525,0.027991476180679962,917.0,0.9905472370145223,908.331816342317
24,"Augustin, D.J.",21.754204831837214,0.03731424499457498,583.0,0.9798384136675162,571.245795168162
25,"Ayres, Jeff",32.350444714443306,0.19725880923441041,164.0,0.961277776131443,157.64955528555666
26,"Babbitt, Luke",42.93613231190153,0.1329292022040295,323.0,0.9754299309229059,315.0638676880986
27,"Bairstow, Cameron",-3.4141267323947404,-0.17070633661973703,20.0,1.020706336619737,20.41412673239474
28,"Barbosa, Leandro",15.234799790076753,0.06167935137682896,247.0,0.9990493935624429,246.7652002099234
29,"Barea, Jose Juan",14.86970257845679,0.03965254020921811,375.0,0.9710141264574492,364.13029742154345
30,"Bargnani, Andrea",44.93522996507288,0.15028505005041096,299.0,1.0135945486117968,303.0647700349272
31,"Barnes, Harrison",24.250711007302744,0.03259504167648218,744.0,0.9714372163880349,722.749288992698
32,"Barnes, Matt",-15.663216868393368,-0.019195118711266383,816.0,1.0191951187112658,831.663216868393
33,"Barron, Earl",6.378886901849432,0.13572099791169004,47.0,1.0770449595351186,50.62111309815057
34,"Barton, Will",-38.79656358448511,-0.1475154508915784,263.0,1.0106333216140118,265.7965635844851
35,"Bass, Brandon",17.58002761217234,0.025441429250611203,691.0,0.9789001047580722,676.4199723878279
36,"Batum, Nicolas",-40.71527610077774,-0.055319668615187154,736.0,1.0240696686151867,753.7152761007774
37,"Bayless, Jerryd",-45.49922778117977,-0.08699661143629019,523.0,1.0047786382049337,525.4992277811804
38,"Baynes, Aron",-21.04506950602126,-0.045949933419260396,458.0,0.9324128155153302,427.0450695060212
39,"Bazemore, Kent",8.325525204378613,0.01798169590578534,463.0,1.0165755395153813,470.67447479562156
40,"Beal, Bradley",15.393345460421786,0.024089742504572437,639.0,0.9649556409070078,616.606654539578
41,"Beasley, Michael",-20.85506229490848,-0.1064033790556555,196.0,1.0349748076270846,202.85506229490858
42,"Belinelli, Marco",15.591940301811889,0.045724165107952755,341.0,0.9923990020474733,338.4080596981884
43,"Bennett, Anthony",23.64097704841247,0.07387805327628896,320.0,1.0573719467237113,338.3590229515876
44,"Beverley, Patrick",-3.161732849894329,-0.0061392870871734544,515.0,1.004197539514358,517.1617328498944
45,"Bhullar, Sim",0.36214044813789814,0.18107022406894907,2.0,0.818929775931051,1.637859551862102
46,"Biyombo, Bismack",-32.66335400676799,-0.07024377205756557,465.0,0.9691685032403612,450.663354006768
47,"Black, Tarik",32.81225061800546,0.06669156629675906,492.0,1.0227393280121833,503.18774938199414
48,"Blair, DeJuan",-3.3626913299408576,-0.0659351241164874,51.0,1.007111594704723,51.362691329940866
49,"Blake, Steve",34.13916688017483,0.06129114341144493,557.0,0.9369135244521103,521.8608331198254
50,"Bledsoe, Eric",2.809605794486054,0.002840855201704807,989.0,0.985025676648649,974.1903942055139
51,"Blue, Vander",-5.629635956014537,-0.5629635956014537,10.0,0.962963595601454,9.629635956014539
52,"Bogdanovic, Bojan",15.6422962796326,0.02642279776964966,592.0,1.0174961211492688,602.3577037203671
53,"Bogut, Andrew",-77.38372039929628,-0.11086492893881988,698.0,0.9733291123199097,679.383720399297
54,"Bonner, Matt",-19.460360586766335,-0.051756278156293446,376.0,0.9533520228371448,358.46036058676646
55,"Booker, Trevor",-26.987359653352513,-0.04942739863251376,546.0,0.9486947978999128,517.9873596533524
56,"Boozer, Carlos",-10.650168530967608,-0.019541593634802953,545.0,1.015871868864161,553.6501685309678
57,"Bosh, Chris",3.900399301671534,0.006927885082897929,563.0,1.0090579053256274,568.0996006983282
58,"Bradley, Avery",-2.5071893619189045,-0.003869119385677322,648.0,1.0162147983980236,658.5071893619194
59,"Brand, Elton",-12.226141046413755,-0.06868618565400986,178.0,0.973180567676482,173.2261410464138
60,"Brewer, Corey",-21.6440788870067,-0.03463052621921072,625.0,1.0154305262192114,634.6440788870071
61,"Brooks, Aaron",22.429656734931633,0.035944962716236595,624.0,0.9191832424119687,573.5703432650685
62,"Brown, Jabari",-0.49097683999788444,-0.003557803188390467,138.0,0.9600795423188252,132.49097683999787
63,"Brown, Lorenzo",25.714772643647425,0.13534090865077592,190.0,1.0067643545071183,191.2852273563525
64,"Brown, Markel",38.76379290141313,0.1588680036943161,244.0,0.9845746192565036,240.23620709858687
65,"Brown, Shannon",3.3842638698664986,0.16115542237459518,21.0,1.0293207681015955,21.615736130133502
66,"Bryant, Kobe",17.5412092576238,0.05713748943851401,307.0,1.0633836831999228,326.4587907423763
67,"Budinger, Chase",28.650095569220802,0.0663196656694926,432.0,1.0193284824786546,440.3499044307788
68,"Bullock, Reggie",-15.777863725825187,-0.14343512478022896,110.0,0.9525260338711379,104.77786372582517
69,"Burke, Trey",62.14344071083026,0.08877634387261465,700.0,0.949795084698814,664.8565592891698
70,"Burks, Alec",29.31047190416023,0.10357057209950611,283.0,1.037772184084239,293.68952809583965
71,"Butler, Caron",28.3150885048106,0.057550992895956506,492.0,1.0217172997869695,502.684911495189
72,"Butler, Jimmy",61.80525614733569,0.08524862916873888,725.0,0.9823375777278122,712.1947438526638
73,"Butler, Rasual",3.259892107094365,0.005863115300529434,556.0,0.9887412012462321,549.740107892905
74,"Buycks, Dwight",1.0318985987207854,0.034396619957359514,30.0,1.098936713375974,32.96810140127922
75,"Bynum, Will",16.004725133009256,0.6958576144786633,23.0,0.99979455943438,22.99527486699074
76,"Caboclo, Bruno",1.8646095167084806,0.3107682527847468,6.0,1.1892317472152534,7.13539048329152
77,"Calathes, Nick",-28.463131408957096,-0.11810427970521617,241.0,0.9064860224438054,218.4631314089571
78,"Calderon, Jose",87.45644412569101,0.2549750557600321,343.0,1.0074156147939026,345.5435558743086
79,"Caldwell-Pope, Kentavious",29.795341098331566,0.04092766634386204,728.0,1.012643762227567,737.2046589016687
80,"Canaan, Isaiah",6.8811363049562395,0.02797209880063512,246.0,0.9679628605489582,238.11886369504373
81,"Capela, Clint",-4.4422973647832595,-0.10096130374507407,44.0,0.8736885764723468,38.44229736478326
82,"Carroll, DeMarre",7.455537048353802,0.009546142187392833,781.0,1.0147816427037726,792.5444629516463
83,"Carter, Vince",9.836284479128935,0.0316279243701895,311.0,1.01981902096743,317.1637155208707
84,"Carter-Williams, Michael",-11.742782757738457,-0.019835781685369015,592.0,1.0333492951988812,611.7427827577377
